sid_total	session_id_total	ip_total	area	origin_channel	grouptype	time_type	year	quarter	month	day	hour
2	2	2	中国 湖北 武汉		1	1	2019	3	07	25	17
1025	1031	930		未知	2	3	2019	3	07		
1025	1031	930		未知	2	4	2019	3			
9	9	8	中国 河南 南阳		1	3	2019	3	07		
3	3	3	中国 湖北 黄石		1	3	2019	3	07		
3617	3631	3391			3	3	2019	3	07		
52	52	49	中国 浙江		1	4	2019	3			
61	61	61		神马	2	4	2019	3			
1722	1725	1681		百度竞价	2	4	2019	3			
11	11	11	中国 河北 沧州		1	3	2019	3	07		
4	4	4	中国 甘肃 白银		1	3	2019	3	07		
57	57	54	中国 河南 郑州		1	3	2019	3	07		
20	21	17	中国 黑龙江 哈尔滨		1	3	2019	3	07		
12	12	12	中国 河南 安阳		1	3	2019	3	07		
3	3	3	中国 山东 莱芜		1	3	2019	3	07		
1	2	1	中国 湖北 荆门		1	3	2019	3	07		
6	6	5	中国 安徽 滁州		1	3	2019	3	07		
3	3	2	中国 安徽 池州		1	3	2019	3	07		
5	5	4	中国 广西 贵港		1	3	2019	3	07		
3	3	3	中国 甘肃 张掖		1	3	2019	3	07		
2	2	2	中国 山东 聊城		1	3	2019	3	07		
2	2	2	中国 陕西 商洛		1	3	2019	3	07		
21	21	19	中国 福建		1	3	2019	3	07		
7	7	7	中国 江苏 盐城		1	3	2019	3	07		
2	2	2	中国 广西 崇左		1	3	2019	3	07		
3	3	3	中国 福建 宁德		1	3	2019	3	07		
1	1	1	中国 湖北 随州		1	3	2019	3	07		
4	4	4	中国 四川 资阳		1	3	2019	3	07		
3	3	3	中国 甘肃 庆阳		1	3	2019	3	07		
1	1	1	中国 四川 眉山		1	3	2019	3	07		
1	1	1	中国 贵州 黔南布依族苗族自治州		1	3	2019	3	07		
1	1	1	中国 四川 雅安		1	3	2019	3	07		
12	12	11	中国 山东 潍坊		1	3	2019	3	07		
9	9	9	中国 江苏 徐州		1	3	2019	3	07		
3	3	3	中国 贵州 黔东南苗族侗族自治州		1	3	2019	3	07		
2	2	2	中国 海南 万宁		1	3	2019	3	07		
11	11	11	中国 辽宁 大连		1	3	2019	3	07		
14	14	13	中国 云南 昆明		1	3	2019	3	07		
5	5	5	中国 甘肃 兰州		1	3	2019	3	07		
1	1	1	中国 云南 西双版纳傣族自治州		1	3	2019	3	07		
82	82	80	中国 湖北 武汉		1	3	2019	3	07		
21	21	21	中国 广西 南宁		1	3	2019	3	07		
10	10	9	中国 河南 濮阳		1	3	2019	3	07		
5	5	5	中国 福建 莆田		1	3	2019	3	07		
2	2	2	中国 贵州 黔西南布依族苗族自治州		1	3	2019	3	07		
3	3	3	中国 湖北 恩施土家族苗族自治州		1	3	2019	3	07		
1	1	1	中国 黑龙江 七台河		1	3	2019	3	07		
13	13	13	中国 江苏 常州		1	3	2019	3	07		
11	11	11	中国 湖南 衡阳		1	3	2019	3	07		
12	12	11	中国 广西 柳州		1	3	2019	3	07		
27	27	24	中国 福建 泉州		1	3	2019	3	07		
2	2	2	中国 湖南 益阳		1	3	2019	3	07		
1	1	1	中国 安徽 淮南		1	3	2019	3	07		
2	2	1	美国 纽约州 纽约		1	3	2019	3	07		
55	55	50	中国 四川 成都		1	3	2019	3	07		
8	8	7	中国 广东 江门		1	3	2019	3	07		
3	3	3	中国 宁夏		1	3	2019	3	07		
7	7	7	中国 广西 玉林		1	3	2019	3	07		
1	1	1	德国 巴伐利亚州		1	3	2019	3	07		
2	2	2	中国 辽宁 铁岭		1	3	2019	3	07		
21	21	21	中国 河北 邯郸		1	3	2019	3	07		
14	14	14	中国 黑龙江		1	3	2019	3	07		
5	5	3	中国 广东 阳江		1	3	2019	3	07		
12	12	12	中国 江苏 无锡		1	3	2019	3	07		
4	4	4	中国 辽宁 辽阳		1	3	2019	3	07		
3	3	3	中国 辽宁 锦州		1	3	2019	3	07		
1	1	1	新加坡 新加坡		1	3	2019	3	07		
3	3	3	中国 内蒙古 鄂尔多斯		1	3	2019	3	07		
6	6	6	中国 湖北 宜昌		1	3	2019	3	07		
1	1	1	菲律宾 菲律宾		1	3	2019	3	07		
1	1	1	中国 辽宁 鞍山		1	3	2019	3	07		
1	1	1	中国 内蒙古 呼伦贝尔		1	3	2019	3	07		
3	3	2	中国 四川 南充		1	3	2019	3	07		
48	48	45	中国 陕西 西安		1	3	2019	3	07		
5	5	4	中国 河南 开封		1	3	2019	3	07		
1	1	1	中国 浙江 舟山		1	3	2019	3	07		
2	2	2	中国 四川 巴中		1	3	2019	3	07		
3	3	3	中国 安徽 阜阳		1	3	2019	3	07		
2	2	1	中国 新疆 和田地区		1	3	2019	3	07		
3	3	3	中国 云南 普洱		1	3	2019	3	07		
5	5	4	中国 内蒙古 乌兰察布		1	3	2019	3	07		
61	61	58	中国 重庆 重庆		1	3	2019	3	07		
18	19	17	中国 中国		1	3	2019	3	07		
4	4	4	中国 安徽 宣城		1	3	2019	3	07		
5	5	5	中国 广东 汕尾		1	3	2019	3	07		
43	45	43	中国 湖北		1	3	2019	3	07		
6	6	6	中国 河北 邢台		1	3	2019	3	07		
4	4	4	中国 江苏 连云港		1	3	2019	3	07		
2	2	2	中国 湖北 襄阳		1	3	2019	3	07		
6	6	6	中国 广东 揭阳		1	3	2019	3	07		
3	3	3	中国 云南 丽江		1	3	2019	3	07		
1	1	1	中国 甘肃 酒泉		1	3	2019	3	07		
1	1	1	中国 台湾		1	3	2019	3	07		
2	2	2	中国 贵州 六盘水		1	3	2019	3	07		
1	1	1	中国 四川 宜宾		1	3	2019	3	07		
1	1	1	中国 内蒙古 通辽		1	3	2019	3	07		
1	1	1	中国 黑龙江 绥化		1	3	2019	3	07		
5	5	5	中国 广东 东莞		1	1	2019	3	07	25	10
2	2	2	中国 湖南 湘西土家族苗族自治州		1	3	2019	3	07		
53	53	49	中国 湖南 长沙		1	3	2019	3	07		
4	4	4	中国 陕西 榆林		1	3	2019	3	07		
1	1	1	中国 四川 阿坝藏族羌族自治州		1	3	2019	3	07		
4	4	4	中国 新疆 乌鲁木齐		1	3	2019	3	07		
11	11	10	中国 山东 淄博		1	3	2019	3	07		
2	2	2	中国 云南 文山壮族苗族自治州		1	3	2019	3	07		
9	9	7	中国 山东 日照		1	3	2019	3	07		
2	2	2	中国 安徽 马鞍山		1	3	2019	3	07		
